Company,Location HQ,Industry,# Laid Off,%,Date,Source,$ Raised (mm),Stage,Date Added,Country,List of Employees Laid Off
Amperity,Seattle,Marketing,13,0.03,2022-08-20T00:00:00.000Z,https://www.geekwire.com/2022/seattle-customer-intelligence-startup-amperity-lays-off-recruiting-staff/,187,Series D,2022-08-22T15:19:19.000Z,United States,
Wayfair,Boston,Retail,870,0.05,2022-08-19T00:00:00.000Z,https://www.bostonglobe.com/2022/08/19/business/wayfair-cuts-870-jobs-including-400-boston-it-reacts-decline-sales/,1700,Post-IPO,2022-08-19T15:05:32.000Z,United States,
Stripe,SF Bay Area,Finance,50,,2022-08-19T00:00:00.000Z,https://techcrunch.com/2022/08/19/stripe-layoffs-taxjar-tech/,2300,Series H,2022-08-19T00:52:00.000Z,United States,
Hodlnaut,"Singapore,Non-U.S.",Crypto,40,0.8,2022-08-19T00:00:00.000Z,https://www.coindesk.com/business/2022/08/19/crypto-lender-hodlnaut-faces-singapore-police-actions-and-staggering-job-cuts/,,Unknown,2022-08-20T03:37:56.000Z,Singapore,
New Relic,SF Bay Area,Infrastructure,110,0.05,2022-08-18T00:00:00.000Z,https://www.marketwatch.com/story/new-relic-commits-to-restructuring-plan-including-layoffs-271660823014,214,Post-IPO,2022-08-18T15:35:06.000Z,United States,
Wheel,Austin,Healthcare,35,0.17,2022-08-18T00:00:00.000Z,https://www.businessinsider.com/wheel-laid-off-17-percent-35-employees-digital-health-layoffs-2022-8,215,Series C,2022-09-01T02:36:41.000Z,United States,
Petal,New York City,Finance,,,2022-08-18T00:00:00.000Z,Internal memo,704,Series D,2022-08-22T15:26:01.000Z,United States,
Thirty Madison,New York City,Healthcare,,0.1,2022-08-18T00:00:00.000Z,Internal memo,209,Series C,2022-08-18T21:46:42.000Z,United States,
Vendasta,"Saskatoon,Non-U.S.",Marketing,,0.05,2022-08-18T00:00:00.000Z,https://saskatoon.ctvnews.ca/vendasta-announces-layoffs-after-best-workplace-recognition-1.6033046,178,Series D,2022-08-20T03:42:03.000Z,Canada,
Malwarebytes,SF Bay Area,Security,125,0.14,2022-08-17T00:00:00.000Z,https://techcrunch.com/2022/08/17/malwareybytes-layoffs/,80,Series B,2022-08-17T16:53:42.000Z,United States,
